    year specfp_normalized
    1997 1.005332
    1997 1.038858
    1997 1.038858
    1997 1.064959
    1997 1.078565
    1997 1.102194
    1997 1.176918
    1997 1.176918
    1997 1.178870
    1997 1.184631
    1997 1.185066
    1997 1.199229
    1997 1.199229
    1997 1.222725
    1997 1.264767
    1997 1.302675
    1997 1.318605
    1997 1.676407
    1997 1.695241
    1997 1.738537
    1997 1.842346
    1997 2.007675
    1997 2.128216
    1998 0.258078
    1998 0.271181
    1998 0.283292
    1998 0.314979
    1998 0.319565
    1998 0.348784
    1998 0.355665
    1998 0.378894
    1998 0.388669
    1998 0.389361
    1998 0.395781
    1998 0.402466
    1998 0.405445
    1998 0.405884
    1998 0.411724
    1998 0.411911
    1998 0.414304
    1998 0.418073
    1998 0.427914
    1998 0.436980
    1998 0.450963
    1998 0.456930
    1998 0.463660
    1998 0.466676
    1998 0.477276
    1998 0.503111
    1998 0.514385
    1998 0.525976
    1998 0.530029
    1998 0.532262
    1998 0.553343
    1998 0.553645
    1998 0.563717
    1998 0.563892
    1998 0.563992
    1998 0.563992
    1998 0.565454
    1998 0.568396
    1998 0.580607
    1998 0.580984
    1998 0.593880
    1998 0.624059
    1998 0.624197
    1998 0.631805
    1998 0.663303
    1998 0.692920
    1998 0.735357
    1998 0.738890
    1998 0.738987
    1998 0.740653
    1998 0.759718
    1998 0.761682
    1998 0.799084
    1998 0.802562
    1998 0.811266
    1998 0.831296
    1998 0.899878
    1998 0.906363
    1998 0.914281
    1998 0.948451
    1998 0.948837
    1998 0.951239
    1998 0.957485
    1998 0.962160
    1998 0.999575
    1998 1.019822
    1998 1.026500
    1998 1.055386
    1998 1.059409
    1998 1.065785
    1998 1.083811
    1998 1.087887
    1998 1.098333
    1998 1.170784
    1998 1.175416
    1998 1.193664
    1998 1.200834
    1998 1.216440
    1998 1.230096
    1998 1.243340
    1998 1.257317
    1998 1.263887
    1998 1.263887
    1998 1.289315
    1998 1.354516
    1998 1.393377
    1998 1.471709
    1998 1.568834
    1998 1.568834
    1998 1.592148
    1998 1.639862
    1998 1.734546
    1998 1.748386
    1998 1.801975
    1998 1.912620
    1998 1.946447
    1998 2.013779
    1998 2.058245
    1998 2.104418
    1998 2.123789
    1998 2.170944
    1998 2.187205
    1998 2.263511
    1998 2.356828
    1998 2.721897
    1998 2.822660
    1998 3.015762
    1998 3.063169
    1998 3.064981
    1998 3.303467
    1998 3.821684
    1998 3.853219
    1998 4.146326
    1999 0.389425
    1999 0.423747
    1999 0.447559
    1999 0.468575
    1999 0.481465
    1999 0.484616
    1999 0.531013
    1999 0.539040
    1999 0.558965
    1999 0.563474
    1999 0.572924
    1999 0.603411
    1999 0.618817
    1999 0.626675
    1999 0.634198
    1999 0.646434
    1999 0.648294
    1999 0.650646
    1999 0.659068
    1999 0.670146
    1999 0.684024
    1999 0.687119
    1999 0.697215
    1999 0.707985
    1999 0.709982
    1999 0.713377
    1999 0.725364
    1999 0.739058
    1999 0.915924
    1999 0.927025
    1999 0.927963
    1999 0.943845
    1999 0.963364
    1999 0.968064
    1999 1.002397
    1999 1.007238
    1999 1.022732
    1999 1.027072
    1999 1.049738
    1999 1.059875
    1999 1.081207
    1999 1.083785
    1999 1.084200
    1999 1.092205
    1999 1.093985
    1999 1.109399
    1999 1.121153
    1999 1.129298
    1999 1.140193
    1999 1.140576
    1999 1.152423
    1999 1.155631
    1999 1.158245
    1999 1.167496
    1999 1.185083
    1999 1.203315
    1999 1.230261
    1999 1.241961
    1999 1.242061
    1999 1.249029
    1999 1.258018
    1999 1.279530
    1999 1.281212
    1999 1.296448
    1999 1.298144
    1999 1.316370
    1999 1.323774
    1999 1.337947
    1999 1.353323
    1999 1.368252
    1999 1.375822
    1999 1.377146
    1999 1.383237
    1999 1.386102
    1999 1.390026
    1999 1.410949
    1999 1.414195
    1999 1.425381
    1999 1.431075
    1999 1.507387
    1999 1.513962
    1999 1.521177
    1999 1.547227
    1999 1.588631
    1999 1.747789
    1999 1.751265
    1999 1.768439
    1999 1.841261
    1999 1.856703
    1999 1.856703
    1999 1.948889
    1999 1.970449
    1999 2.046709
    1999 2.082165
    1999 2.094168
    1999 2.106086
    1999 2.106687
    1999 2.113207
    1999 2.165008
    1999 2.185669
    1999 2.210501
    1999 2.278996
    1999 2.288321
    1999 2.295885
    1999 2.345442
    1999 2.385007
    1999 2.397337
    1999 2.524372
    1999 2.552315
    1999 2.552315
    1999 2.557485
    1999 2.812798
    1999 3.051171
    1999 3.173313
    1999 3.504572
    1999 3.746142
    1999 4.011890
    1999 4.259744
    1999 4.611237
    1999 4.638695
    1999 4.710120
    2000 0.387331
    2000 0.478131
    2000 0.514031
    2000 0.870791
    2000 1.161942
    2000 1.161942
    2000 1.162268
    2000 1.162268
    2000 1.247943
    2000 1.271096
    2000 1.283756
    2000 1.304299
    2000 1.327058
    2000 1.335629
    2000 1.371483
    2000 1.374991
    2000 1.376453
    2000 1.418975
    2000 1.467148
    2000 1.471410
    2000 1.474332
    2000 1.494630
    2000 1.497833
    2000 1.500003
    2000 1.513991
    2000 1.533422
    2000 1.535740
    2000 1.544204
    2000 1.550005
    2000 1.550817
    2000 1.554016
    2000 1.554347
    2000 1.566589
    2000 1.572613
    2000 1.573313
    2000 1.590265
    2000 1.591253
    2000 1.608561
    2000 1.610905
    2000 1.651034
    2000 1.668844
    2000 1.669703
    2000 1.669913
    2000 1.670294
    2000 1.687633
    2000 1.710045
    2000 1.718390
    2000 1.720608
    2000 1.723366
    2000 1.732844
    2000 1.736346
    2000 1.747729
    2000 1.760502
    2000 1.769338
    2000 1.772300
    2000 1.772300
    2000 1.801415
    2000 1.803688
    2000 1.811649
    2000 1.815772
    2000 1.822993
    2000 1.828537
    2000 1.844715
    2000 1.849587
    2000 1.851919
    2000 1.851919
    2000 1.854799
    2000 1.860834
    2000 1.866148
    2000 1.910660
    2000 1.955586
    2000 2.007133
    2000 2.017258
    2000 2.112176
    2000 2.113412
    2000 2.134359
    2000 2.150508
    2000 2.154185
    2000 2.162537
    2000 2.204209
    2000 2.216011
    2000 2.252146
    2000 2.265992
    2000 2.281971
    2000 2.294705
    2000 2.294705
    2000 2.294705
    2000 2.325858
    2000 2.415185
    2000 2.416836
    2000 2.461309
    2000 2.461309
    2000 2.619100
    2000 2.708809
    2000 2.796011
    2000 2.831296
    2000 2.855914
    2000 2.911898
    2000 2.965220
    2000 2.981630
    2000 2.995501
    2000 3.028273
    2000 3.048277
    2000 3.071874
    2000 3.107290
    2000 3.110020
    2000 3.116879
    2000 3.234939
    2000 3.248067
    2000 3.290050
    2000 3.305388
    2000 3.430857
    2000 3.704258
    2000 4.008864
    2000 4.032899
    2000 5.245104
    2001 0.924235
    2001 1.385530
    2001 1.385530
    2001 1.385530
    2001 1.385530
    2001 1.440725
    2001 1.463287
    2001 1.523044
    2001 1.571948
    2001 1.583695
    2001 1.631819
    2001 1.685115
    2001 1.685636
    2001 1.685636
    2001 1.711139
    2001 1.717879
    2001 1.718157
    2001 1.718157
    2001 1.775745
    2001 1.775745
    2001 1.813660
    2001 1.831893
    2001 1.876656
    2001 1.876656
    2001 1.970170
    2001 2.002609
    2001 2.015629
    2001 2.030896
    2001 2.030896
    2001 2.034532
    2001 2.048690
    2001 2.083414
    2001 2.083414
    2001 2.087587
    2001 2.099357
    2001 2.130936
    2001 2.134406
    2001 2.192002
    2001 2.199411
    2001 2.248835
    2001 2.344483
    2001 2.412846
    2001 2.414860
    2001 2.414860
    2001 2.414860
    2001 2.414860
    2001 2.436479
    2001 2.443046
    2001 2.449184
    2001 2.467542
    2001 2.614945
    2001 2.624719
    2001 2.675594
    2001 2.730170
    2001 2.736502
    2001 2.799282
    2001 2.799952
    2001 2.842684
    2001 2.848841
    2001 2.851660
    2001 2.855420
    2001 2.895161
    2001 2.975034
    2001 2.975978
    2001 2.976901
    2001 2.977131
    2001 3.002307
    2001 3.029191
    2001 3.064848
    2001 3.071132
    2001 3.086853
    2001 3.121077
    2001 3.152879
    2001 3.175380
    2001 3.238553
    2001 3.273764
    2001 3.311462
    2001 3.311462
    2001 3.311462
    2001 3.331234
    2001 3.340332
    2001 3.344944
    2001 3.354745
    2001 3.357776
    2001 3.386069
    2001 3.424291
    2001 3.479776
    2001 3.480545
    2001 3.482447
    2001 3.499390
    2001 3.516724
    2001 3.524923
    2001 3.525780
    2001 3.536387
    2001 3.546615
    2001 3.557203
    2001 3.561237
    2001 3.638302
    2001 3.652669
    2001 3.667679
    2001 3.672661
    2001 3.679615
    2001 3.706812
    2001 3.715004
    2001 3.724071
    2001 3.729900
    2001 3.778107
    2001 3.788628
    2001 3.842824
    2001 3.888429
    2001 3.896676
    2001 3.943972
    2001 3.966443
    2001 3.973509
    2001 3.982508
    2001 3.987955
    2001 4.015505
    2001 4.019826
    2001 4.047832
    2001 4.048300
    2001 4.050777
    2001 4.393517
    2001 6.217628
    2001 6.802130
    2002 1.360799
    2002 1.474949
    2002 1.863838
    2002 1.863838
    2002 1.978205
    2002 2.034532
