year   clock  
2006   1600.0 
2006   1860.0 
2006   2000.0 
2006   2330.0 
2007   2000.0 
2007   2330.0 
2007   2500.0 
2007   2660.0 
2007   2830.0 
2007   3000.0 
2007   3000.0 
2009   1867.0 
2009   2000.0 
2009   2000.0 
2009   2130.0 
2010   2260.0 
2009   2260.0 
2009   2400.0 
2009   2530.0 
2010   2400.0 
2010   2530.0 
2010   2670.0 
2010   2533.0 
2009   3000.0 
2009   2833.0 
2010   2267.0 
2009   1867.0 
2008   3000.0 
2007   1860.0 
2008   2133.0 
2008   2330.0 
2008   2500.0 
2009   2260.0 
2010   1860.0 
2010   2130.0 
2010   2266.0 
2009   2400.0 
2009   2533.0 
2009   2667.0 
2009   2933.0 
2009   3067.0 
2009   3200.0 
2009   3200.0 
2009   3333.0 
2010   3333.0 
2009   3200.0 
2009   3330.0 
2007   2133.0 
2007   2400.0 
2007   2660.0 
2008   2500.0 
2008   2666.0 
2008   2666.0 
2008   2833.0 
2008   3000.0 
2009   3167.0 
2009   2400.0 
2009   2533.0 
2009   2667.0 
2009   2800.0 
2009   2933.0 
2009   3067.0 
2007   3333.0 
2008   3500.0 
2007   3400.0 
2006   2666.0 
2007   3000.0 
2007   3000.0 
2007   3166.0 
2008   3333.0 
2007   3000.0 
2007   3200.0 
2009   2670.0 
2009   2800.0 
2009   2933.0 
2010   2670.0 
2010   2800.0 
2010   3060.0 
2010   2930.0 
2010   3460.0 
2010   3330.0 
1996   180.0  
1996   195.0  
1996   196.0  
1996   200.0  
1996   250.0  
1986   16.0   
1988   40.0   
1992   100.0  
1995   240.0  
1994   200.0  
1995   250.0  
1992   100.0  
1992   150.0  
1992   175.0  
1992   200.0  
1993   100.0  
1994   133.0  
1994   150.0  
1994   133.0  
1996   150.0  
1996   180.0  
1996   200.0  
1996   250.0  
1994   75.0   
1994   75.0   
1979   14.0   
1983   14.0   
1984   25.0   
1987   50.0   
1991   33.0   
1994   66.0   
1999   500.0  
2001   733.0  
1994   93.0   
1994   100.0  
1994   125.0  
1995   150.0  
1993   72.0   
1998   270.0  
1998   300.0  
1998   350.0  
1998   360.0  
2000   400.0  
1991   50.0   
1992   40.0   
1992   50.0   
1992   60.0   
1995   75.0   
1995   90.0   
1995   143.0  
1995   167.0  
1995   200.0  
1995   248.0  
1995   296.0  
2000   600.0  
2000   750.0  
2000   900.0  
2005   1400.0 
2007   1400.0 
1976   2.5    
2010   1800.0 
2012   2700.0 
2012   3300.0 
2012   3500.0 
2014   3200.0 
2013   3900.0 
2014   3400.0 
2014   3200.0 
